minor: 0,minor: 1,minor: 2,minor: 3,minor: 4,minor: 5,minor: 6,minor: 7,minor: 8,minor: 9,minor: 10,minor: 11,minor: 12,minor: 13,minor: 14,minor: 15,minor: 16,minor: 17,minor: 18,minor: 19,minor: 20,minor: 21,minor: 22,minor: 23,minor: 24,label
-76.83333333,-71.625,-74.33333333,-70.92307692,-78.42857143,-73.61538462,-67.5,-69.09090909,-75.88888889,-80.2,-63.42857143,-59.16666667,-73.3,-75.92307692,-69.36363636,-58.13333333,-54.90909091,-61,-70.77777778,-79,-59.25,-55.54545455,-66.36363636,-57,-72.33333333,83
-77,-72.44444444,-72.66666667,-73.5,-76.53846154,-73.75,-69.55555556,-72.25,-71.16666667,-77.6,-63.66666667,-61.38461538,-71.75,-72,-77.875,-55.4,-55.28571429,-67.5,-64.6,-78.57142857,-57.78571429,-52,-66,-57.875,-73.76923077,83
-69.55555556,-76.6,-71.14285714,-72.88888889,-80,-69.8,-75.88888889,-76.42857143,-69.5,-81.33333333,-64.57142857,-54.07142857,-71.25,-74,-68.16666667,-58.3,-58.6,-62.11111111,-72.16666667,-70,-51.69230769,-50.77777778,-75.9,-63.4,-73.5,83
-79.5,-68.69230769,-72.71428571,-78.25,-75.33333333,-68.66666667,-69.5,-68.72727273,-71.125,-79.5,-66.44444444,-63.375,-76,-70.27272727,-70.375,-59,-52.45454545,-66.6,-67.28571429,-68.1,-56,-51.375,-75.83333333,-57.85714286,-72.875,83
-87.75,-84.66666667,-88,-92.5,-91.125,-83.6,-85,-79.25,-88,-87.4,-77.41666667,-69.63636364,-78.88888889,-92.2,-93.6,-76.83333333,-68.2,-81.94117647,-85.71428571,-89.125,-70.08333333,-74.66666667,-82,-70.75,-86.33333333,83
-62,-52,-61.54545455,-53.44444444,-63.125,-59.66666667,-57.83333333,-66,-66.45454545,-76.4,-60.6,-65,-64.18181818,-67.14285714,-73,-65.55555556,-71.07692308,-69.33333333,-70.25,-78.85714286,-79,-71.42857143,-73.375,-72.66666667,-77,4
-79,-62,-77.11111111,-69,-78,-72.2,-69.66666667,-87.8,-79.75,-87.5,-74.5,-86,-79.83333333,-86.25,-89.6,-82.16666667,-86.66666667,-86.66666667,-93.8,-90,-87.5,-93,-80,-91,-93.5,4
-58.2,-48,-55.75,-55.69230769,-60.5,-58.57142857,-58.25,-64,-69,-74.6,-58.33333333,-64.4,-69,-73.2,-71.16666667,-64,-72,-73.5,-74.57142857,-77.5,-76,-74.83333333,-76.2,-70.92307692,-81,4
-58.14285714,-49.22222222,-52.73333333,-56.18181818,-62.28571429,-61,-58.75,-68.46666667,-68.66666667,-73.8,-67.5,-69.22222222,-64.33333333,-71,-70.2,-57.52941176,-66.25,-70.08333333,-71.16666667,-80.07692308,-67.33333333,-70.66666667,-73.88888889,-82.66666667,-82.5,4
-61.25,-53.61538462,-54.5,-55.63636364,-63.54545455,-58.66666667,-57,-65.4,-68.66666667,-70.44444444,-56.13333333,-65.28571429,-71.77777778,-75.42857143,-72.25,-61,-69.375,-67.44444444,-75.28571429,-72.66666667,-68.9,-74,-74.75,-72.16666667,-80.5,4
-67.07692308,-56.6875,-63.91666667,-70.9,-71.54545455,-60.58333333,-53.23076923,-66.4,-71.28571429,-79.83333333,-66.9,-62,-64.125,-75.6,-73.55555556,-65.875,-66.69230769,-75,-76,-75.22222222,-65.75,-69.9,-76.33333333,-68.4,-78.75,5
-69.8,-59,-62.66666667,-70.63636364,-70.875,-64.46153846,-54.84615385,-65.75,-76,-78.33333333,-67,-63.66666667,-71.4,-78.57142857,-79,-70,-67.375,-76.14285714,-78.5,-74.14285714,-61.66666667,-69.41666667,-72,-72.625,-85.75,5
-66.4,-55.14285714,-64.125,-67.6,-77,-65.64285714,-59,-67.63636364,-70.53846154,-75,-65.58333333,-57.45454545,-75.14285714,-78.5,-71,-71.5,-66.91666667,-79.2,-76,-75.88888889,-62.88888889,-70.38461538,-72.21428571,-70.66666667,-82,5
-66.875,-55.75,-69,-69.125,-71.55555556,-72.14285714,-58.1,-72.8,-73.5,-78.4,-74.3,-60,-77.5,-73.5,-74.5,-69.625,-64,-73.08333333,-77,-78.4,-63.18181818,-70,-71.28571429,-75.71428571,-82.66666667,5
-69.11764706,-55.22222222,-66.8,-66.77777778,-71.71428571,-68.8,-59,-65.75,-70.8,-72.33333333,-68,-65.61538462,-73.33333333,-78.25,-70.5,-68.375,-65,-71.18181818,-74.63636364,-81.25,-63.9375,-68,-74.9,-79.36363636,-82.71428571,5
-64,-58.75,-68.33333333,-71.66666667,-79.42857143,-50.71428571,-57,-66,-74.5,-80.8,-58.21428571,-59.57142857,-63.33333333,-75.3,-70.28571429,-62,-63,-69.625,-72.88888889,-79.625,-69.16666667,-67,-69.71428571,-75.1,-81.75,6
-65,-56.83333333,-71.75,-71.33333333,-75.66666667,-55.3,-54.18181818,-67.09090909,-72.625,-76,-62.42857143,-55.11111111,-64,-74.28571429,-69,-62.09090909,-62.11764706,-68.33333333,-72.22222222,-81.5,-71.375,-67.71428571,-69.5,-73.16666667,-79,6
-68.33333333,-55,-67,-74.07142857,-71.4,-56.72727273,-51.92307692,-69.6,-72.15384615,-81.25,-58,-58.44444444,-65.28571429,-73.46153846,-69,-67.4,-66.85714286,-70.25,-72.11111111,-83,-72.1,-69.25,-73,-71.57142857,-77.33333333,6
-66.5,-53,-70.71428571,-73.57142857,-83,-57.77777778,-52.63636364,-59.875,-74.42857143,-78,-62.11111111,-58.44444444,-61.375,-71.5,-75.33333333,-63.57142857,-65.5,-68.8,-75,-74,-70.33333333,-67.71428571,-72.85714286,-73.77777778,-74.75,6
-64.57142857,-61.55555556,-67.3,-72.125,-75,-60,-54.91666667,-58.63636364,-69.14285714,-85,-55.92307692,-58.91666667,-61.09090909,-70.25,-68,-69.23076923,-65,-69.41666667,-75.5,-76.33333333,-72,-70.42857143,-70.2,-78.4,-76.5,6
-59.35714286,-53.2,-66.6,-76,-78.57142857,-58.66666667,-53.66666667,-64,-73.25,-72.16666667,-61.2,-65.5,-69,-73.14285714,-77.33333333,-65.41666667,-69.09090909,-74.6,-77.71428571,-77.21428571,-74.66666667,-78.4,-77.5,-75.14285714,-83,7
-59.16666667,-57.42857143,-61,-67.3,-72.8,-59.85714286,-55.42857143,-66.875,-74.53846154,-87.4,-65.72727273,-68.75,-77.23076923,-73,-74,-72.3,-68.33333333,-85,-83.90909091,-72.25,-75.61538462,-77.66666667,-77.25,-78.125,-78.66666667,7
-58,-58.33333333,-57,-66.16666667,-74.66666667,-58.7,-58.09090909,-61.28571429,-76.25,-76.28571429,-60.75,-66.3,-73.77777778,-77,-73.25,-71.26666667,-72.8,-74,-77,-79.5,-78.8,-78,-76.85714286,-80.5,-81.75,7
-56.92307692,-55.1,-54.85714286,-66.2,-71.23076923,-57,-58,-63.42857143,-74.11111111,-76,-61.16666667,-62.125,-69.7,-78.5,-75.69230769,-75.25,-70.33333333,-82.25,-75.33333333,-78.14285714,-75.25,-82.4,-76.4,-75.75,-84,7
-55.22222222,-55.75,-58.14285714,-64.30769231,-74.7,-56.08333333,-56.45454545,-68.22222222,-77,-76.83333333,-60.28571429,-70.4,-72.69230769,-75.11111111,-67,-66.72727273,-65.45454545,-74.57142857,-76.41666667,-77.83333333,-76.8,-75.625,-77.66666667,-76.22222222,-81.5,7
-84.85714286,-81.2,-82.375,-81.8,-89,-72.3,-63.7,-66.64285714,-86.5,-81.75,-74.71428571,-72.25,-72.69230769,-84.4,-75,-76.22222222,-84.90909091,-86.33333333,-85.375,-89.5,-84.63636364,-89.57142857,-81.83333333,-84.66666667,-90.16666667,24
-83.25,-81.16666667,-77,-80.83333333,-86.14285714,-73.57142857,-61.4,-67,-83.16666667,-84.75,-76,-75.25,-69.9,-84.5,-81.375,-80.57142857,-85.5,-81,-87.5,-86.8,-84.83333333,-84.33333333,-88.75,-83.625,-90.14285714,24
-83.22222222,-79,-75.875,-85.7,-88.25,-74.875,-59.66666667,-70.14285714,-81.33333333,-87,-75.08333333,-78.5,-70.22222222,-86.2,-85.61538462,-80.16666667,-82.16666667,-82.5,-87.5,-82.77777778,-84.625,-83.92307692,-90.25,-86.5,-88.71428571,24
-77,-71.75,-74.08333333,-81.33333333,-91.33333333,-74,-61.42857143,-71.22222222,-80.4,-89,-74.3,-67,-70.27272727,-83.28571429,-86.1,-82.33333333,-80.8,-80.5,-77,-79.6,-87,-88.9,-81.81818182,-86,-87.14285714,24
-77.42857143,-82.42857143,-81.11111111,-81.81818182,-92.4,-72.4,-63.71428571,-67.6,-76.1,-85.28571429,-72.76923077,-77.28571429,-70.73333333,-86,-82,-75.41666667,-85.83333333,-82,-82.90909091,-81.55555556,-80,-82.33333333,-84.375,-88.375,-88.25,24
-76.5,-67.4,-69.33333333,-65.5,-88,-84.5,-65.77777778,-54.66666667,-71.5,-82.66666667,-73,-70.11111111,-64.2,-78.5,-83,-73.33333333,-69.71428571,-76,-81.42857143,-82.5,-79,-75,-80,-91,-76,25
-77.4,-72.55555556,-77.66666667,-83.4,-87.14285714,-80.5,-67,-65.11111111,-79.14285714,-87,-83.6,-73.14285714,-70.33333333,-79.16666667,-91.22222222,-75.7,-73.85714286,-83.35714286,-80.25,-82.66666667,-80.11111111,-81.85714286,-83.83333333,-87,-91.16666667,25
-76.75,-70.54545455,-79.125,-78.7,-86.375,-81.22222222,-72.81818182,-70.88888889,-87.25,-91,-85.8,-68.66666667,-69.77777778,-86.5,-81.33333333,-73.41666667,-76.66666667,-84.25,-83.54545455,-91.6,-86.25,-81.54545455,-83.66666667,-84.22222222,-93.2,25
-74.25,-70.23076923,-85,-80.72727273,-89.8,-82.78571429,-68.25,-75.375,-82.18181818,-89,-84.66666667,-70.61538462,-76,-84.28571429,-85.5,-80.54545455,-75.5,-81.88888889,-81.16666667,-86.375,-86,-83.5,-85.08333333,-86.57142857,-91.625,25
-72,-69.42857143,-84,-77.5,-86,-81.14285714,-66.66666667,-70.16666667,-78.4,-91,-79.16666667,-68.75,-69.75,-80.33333333,-85.66666667,-80.42857143,-80.5,-80.66666667,-81.75,-88,-94.5,-80.14285714,-81.77777778,-85.16666667,-93,25
-78.08333333,-66.81818182,-81.875,-88.72727273,-91,-75.25,-69.42857143,-71.71428571,-85,-88.18181818,-77.58333333,-66.09090909,-72.4,-85.9,-82,-86,-79.33333333,-87,-85.55555556,-80,-78.09090909,-79.75,-88.33333333,-93,-88.55555556,26
-79.42857143,-69.23076923,-90.33333333,-85,-94.28571429,-72.14285714,-74,-68.81818182,-85,-87.2,-77.85714286,-67.5,-72.83333333,-84.75,-88.42857143,-80.6,-73.5,-80.1,-81.85714286,-89.8,-80.85714286,-78.71428571,-85.4,-84.83333333,-91,26
-72.625,-65.16666667,-77.625,-84.4,-97,-69,-64.66666667,-73.11111111,-81.8,-80.2,-75.5,-74,-67.44444444,-80.6,-83.5,-84.2,-76.85714286,-81,-80.6,-88,-74.66666667,-80.375,-80.5,-83,-91,26
-62.91666667,-54.25,-69.1,-71,-76.54545455,-61.64285714,-47.30769231,-53.92307692,-68.8,-73.5,-58.9,-57.66666667,-55.66666667,-70.5,-68.44444444,-69.08333333,-59.27272727,-69.66666667,-67.5,-73,-66.42857143,-67.3,-64.6,-69.4,-73.28571429,26
-63.83333333,-53.25,-64.92857143,-77.21428571,-78,-59.45454545,-47.15384615,-59,-71.07692308,-70.4,-63.45454545,-63.07692308,-56,-83.8,-69,-66.75,-58,-69.72727273,-71.5,-71,-67.66666667,-65.42857143,-64.8,-70.1,-75.6,26
-65.83333333,-62.75,-66.6,-72.33333333,-74.4,-56.125,-59,-60.875,-76.66666667,-90.5,-63,-67.16666667,-53.4,-69.75,-75.625,-66.125,-78,-71,-69,-80.2,-76.2,-73,-70.75,-73,-77,27
-61.8,-54,-65.64285714,-66.125,-79,-54.5,-51.83333333,-56,-74.4,-69.57142857,-63.75,-60.7,-54.6,-69.2,-70.88888889,-65.66666667,-66.9375,-69.5,-71.5,-70.14285714,-73,-72.25,-72.33333333,-71.66666667,-77.6,27
-56.57142857,-52.85714286,-70.45454545,-63.7,-74.11111111,-51.84615385,-55.66666667,-56.33333333,-64,-67.25,-64.22222222,-62,-55.5625,-68.875,-70.58333333,-66.5,-65,-67.71428571,-71,-72.14285714,-68.33333333,-66.5,-68.6,-69.72727273,-78,27
-56.63636364,-52.88888889,-73.14285714,-68.8,-74.25,-51.30769231,-49.4,-57.71428571,-69,-70.16666667,-65,-57.3,-59.8,-69.66666667,-71.8,-65.2,-68,-70.66666667,-70.35714286,-69,-80,-75.14285714,-77.14285714,-70,-77,27
-72.83333333,-76.4,-86.25,-76.33333333,-89.5,-66.83333333,-65,-67,-82.2,-87.66666667,-79.83333333,-79.8,-75.88888889,-88,-90,-76,-83.875,-84.8,-85.33333333,-84,-89.25,-88.75,-87,-88,-92.5,27
-88.81818182,-77.83333333,-85.8,-88.1,-90.33333333,-79.5,-75,-67.4,-73.375,-84,-76.42857143,-70.875,-68.77777778,-75.57142857,-88.11111111,-79.53846154,-77.11111111,-78.33333333,-84,-84.54545455,-85.2,-82.8,-75.6,-80.66666667,-84.5,44
-87.5,-76,-80.5,-83,-91,-70.5,-69,-70.14285714,-75,-88.4,-77.85714286,-65.75,-66.77777778,-77.16666667,-90,-72.66666667,-82.75,-73,-80.33333333,-77.5,-88.6,-79.66666667,-75,-81.85714286,-82.75,44
-67.28571429,-65.23076923,-65.5,-65.25,-76.71428571,-63.11111111,-62,-57.5,-58.83333333,-64.33333333,-64.41666667,-52,-45.11111111,-63.18181818,-69.72727273,-65.22222222,-61,-64.81818182,-58.55555556,-66.1,-65.2,-72.22222222,-61.18181818,-70.42857143,-71,44
-67.77777778,-68.4,-66.15384615,-65.125,-71.71428571,-67.55555556,-57.7,-62.8,-57.125,-65.33333333,-64,-54.44444444,-45.18181818,-64.57142857,-68.83333333,-65.15384615,-59.57142857,-76.66666667,-61.21428571,-71.4,-65.66666667,-67.875,-59.09090909,-72.57142857,-69.25,44
-68.66666667,-67.22222222,-65.66666667,-65.72727273,-73.5,-67.27272727,-62.90909091,-57,-59.09090909,-64.91666667,-62.44444444,-56.45454545,-46.14285714,-69.58333333,-70.2,-58.18181818,-68,-61.83333333,-66.5,-73,-67.25,-64,-60.27272727,-66.25,-75.57142857,44
-82.5,-78.14285714,-72.66666667,-87.93333333,-91.83333333,-79.4,-70.2,-68.45454545,-72.6,-85.83333333,-78.4,-72.55555556,-83.5,-81.625,-84,-74.33333333,-71.23076923,-72,-82.7,-91.7,-83.5,-82.42857143,-81.6,-86.66666667,-89.33333333,45
-81.58333333,-85.2,-69.8,-86.33333333,-91.6,-82.07142857,-68.1,-68.1,-77,-89,-79.8,-72.5,-76.66666667,-84.5,-82.4,-74.8,-69,-73.15384615,-81.44444444,-89.33333333,-78.7,-80,-83.16666667,-85,-97.83333333,45
-76.44444444,-76.66666667,-68.25,-74.25,-92.33333333,-76.75,-68.16666667,-66.9,-72.14285714,-93,-76.66666667,-74.9,-76.84615385,-81.58333333,-86.5,-82,-74.14285714,-76.83333333,-81.18181818,-92.85714286,-78.625,-83.2,-81.75,-91.125,-90.6,45
-78.2,-80,-68.2,-81.66666667,-93.57142857,-73.125,-66.33333333,-65,-80.83333333,-88.5,-86.33333333,-71.9,-66.8,-84.75,-85.75,-81.14285714,-72,-77,-91.33333333,-82.25,-76.2,-78.6,-85,-85.4,-89.33333333,45
-63.8,-64.625,-58.33333333,-68.8,-74.6,-62,-55.09090909,-49.2,-63.83333333,-74.21428571,-65.76923077,-62.5,-57.36363636,-73.28571429,-73.5,-65.7,-62.91666667,-65,-69.33333333,-65.2,-67.77777778,-64.88888889,-69.5,-67.57142857,-77.4,45
-71.33333333,-70.71428571,-70.4,-81.5,-80,-72.75,-69,-58.33333333,-75,-83.14285714,-65,-66.75,-68.8,-75.6,-78.83333333,-64.2,-66.85714286,-66.5,-73.44444444,-78.71428571,-69.14285714,-66.75,-88.16666667,-76.5,-84,46
-63.4375,-61.8,-68.63636364,-70.25,-75.6,-67.90909091,-54,-58.875,-64.4,-76.83333333,-59.5,-55.625,-70.16666667,-79,-72.7,-61.83333333,-59.875,-62.1,-69.33333333,-71.6,-64.54545455,-57.5,-72.25,-62.75,-75.25,46
-65.28571429,-61.5,-73.6,-69.33333333,-81.77777778,-64,-52.53333333,-57.46153846,-67,-82.22222222,-63.71428571,-60.85714286,-64.71428571,-71.5,-72.28571429,-58.66666667,-54.23076923,-65.44444444,-72.85714286,-76.6,-63.77777778,-60.61538462,-72.09090909,-63.57142857,-79.5,46
-68.1,-62.6,-68.33333333,-66.5,-78.66666667,-62.66666667,-54.09090909,-60.75,-79.28571429,-75,-62.33333333,-63.42857143,-64,-71.4,-67.4,-58,-55.5,-63.92307692,-71.75,-70,-58.55555556,-62.75,-69.75,-61.125,-74.25,46
-76.33333333,-60.75,-78,-78,-81.6,-63.25,-64.14285714,-69.42857143,-82.33333333,-81.4,-67.71428571,-55.33333333,-80.33333333,-76.09090909,-82.42857143,-59.33333333,-60.25,-67,-77,-80.33333333,-63.83333333,-65.57142857,-81.28571429,-76,-76.5,46
-63.09090909,-63.875,-63,-67.125,-70.42857143,-57.5,-55.4,-50.69230769,-64.42857143,-68.90909091,-53.875,-62.63636364,-56.875,-74.11111111,-71.90909091,-58.21428571,-63,-63.3,-68.5,-75.875,-71.5,-63.4,-68.36363636,-71.5,-69.75,47
-70.6,-79,-84,-74.77777778,-79.33333333,-59.5,-62.25,-57.375,-66.66666667,-78.71428571,-57.42857143,-60.83333333,-53,-81.25,-75.83333333,-68.16666667,-69.14285714,-64.57142857,-75.16666667,-76.2,-71.5,-70.375,-74,-67,-79.5,47
-78.2,-87.66666667,-75.875,-85.125,-90.375,-71.75,-71.875,-70,-77.54545455,-88,-66.16666667,-71.5,-68.18181818,-83.875,-84,-76.78571429,-72.16666667,-76,-78.16666667,-86.42857143,-81,-81,-82,-84.2,-87,47
-78.66666667,-77.25,-85.3,-83.83333333,-86.41666667,-75.09090909,-69.1,-74,-74.81818182,-87,-65.83333333,-76.4,-71.375,-85.23529412,-78.88888889,-78.33333333,-79.45454545,-77.8,-78.16666667,-84.42857143,-79.5,-84.28571429,-81,-87.16666667,-86.71428571,47
-82.71428571,-83.27272727,-84.1,-84.44444444,-86.75,-72.875,-72.2,-71.125,-72.16666667,-87.72727273,-64.61538462,-71.33333333,-68.2,-87.22222222,-84.33333333,-73.1,-77.75,-78.33333333,-74.66666667,-86.8,-79.90909091,-78.33333333,-84,-85.61538462,-87.4,47
-73.5,-74,-74.42857143,-74.83333333,-76.42857143,-76.85714286,-67.4,-70,-77.54545455,-76.5,-63.7,-62,-61.5,-67.44444444,-69.85714286,-63.2,-51.30769231,-72.75,-68,-69.875,-63.33333333,-62.90909091,-70.42857143,-60.4,-74.75,64
-70,-70.4,-74.28571429,-68.57142857,-71.8,-73.8,-70.25,-70.16666667,-73.57142857,-79.1,-63,-62.28571429,-62.5,-67.25,-66.11111111,-60.125,-58.86666667,-73.14285714,-72.69230769,-69.75,-62.11111111,-60.63636364,-66.22222222,-62.63636364,-81.375,64
-75.55555556,-71.33333333,-74.33333333,-73.625,-76.5,-73.83333333,-70.13333333,-62.4,-72.33333333,-75,-63.4375,-67.66666667,-67.7,-65,-65.81818182,-56.08333333,-51.57142857,-62.38461538,-72.33333333,-73,-61.06666667,-63.66666667,-65.9,-57.38461538,-79.33333333,64
-82.75,-92.33333333,-89.8,-77.33333333,-82.85714286,-83.5,-82,-78,-79.66666667,-80,-75.625,-70.6,-68,-76.57142857,-77.6,-71.44444444,-60.33333333,-71,-79.8,-82.125,-72.2,-68.66666667,-73,-61,-91.33333333,64
-77.5,-74.33333333,-69.61538462,-69.1,-75,-67,-68.23529412,-65.83333333,-65.15384615,-78.5,-63,-63.625,-57.86666667,-69.33333333,-64.11111111,-63.83333333,-48,-66.6,-66.22222222,-74.18181818,-57.28571429,-63.07142857,-63,-58.33333333,-77.72727273,64
-67.4,-69.28571429,-64.57142857,-66,-70.33333333,-65.5,-59.375,-58,-63.75,-76.8,-64.18181818,-58.46153846,-58.36363636,-79.5,-72.91666667,-62.8,-59.44444444,-67,-73.11111111,-74.5,-59.88888889,-64.07142857,-69.625,-60.85714286,-74.07142857,65
-86.6,-88.66666667,-83.625,-80,-87.4,-81.28571429,-75,-77.875,-78,-90.71428571,-79.42857143,-70.28571429,-69.71428571,-86,-82.125,-78.14285714,-71.75,-77.5,-91.33333333,-91.16666667,-79.33333333,-74.75,-86.66666667,-73,-92.25,65
-70.875,-70.55555556,-72.44444444,-61.69230769,-73.33333333,-62.55555556,-64,-62.22222222,-61.4,-72.7,-67.1,-49.64285714,-52.69230769,-74,-67.375,-61.33333333,-61.85714286,-62.77777778,-72.33333333,-73.23076923,-62.625,-66.5,-68.25,-61.61538462,-72.83333333,65
-67.875,-69.375,-70.6,-62.375,-76,-60.66666667,-64.33333333,-61.36363636,-59.53333333,-75.1,-62.42857143,-49.4,-54.9,-79.5,-66.66666667,-70.6,-55.45454545,-65.4,-76.5,-73.83333333,-64.44444444,-58.38461538,-65.2,-60.625,-76.25,65
-70.25,-68.66666667,-71,-62,-71.25,-60.36363636,-61.16666667,-57.2,-57,-69.33333333,-69.22222222,-50.77777778,-54.36363636,-75.625,-63.25,-68.7,-51.46153846,-73.5,-76.08333333,-72.22222222,-65.71428571,-59.33333333,-71.78571429,-61.30769231,-74,65
-74,-72.5,-79.66666667,-69.75,-77,-69,-66,-63.66666667,-72.4,-77.33333333,-57.33333333,-59.33333333,-72.77777778,-66.5,-80,-66.375,-61.63636364,-73.25,-82,-77,-60.14285714,-56.33333333,-88.4,-64.125,-83.6,66
-79.625,-74.125,-77.8,-72.77777778,-76.25,-66,-63.75,-64.3,-75.33333333,-86,-61.28571429,-59.44444444,-68.75,-73.33333333,-72.4,-64.88888889,-50.66666667,-66.5,-69.375,-72.77777778,-54.28571429,-56.1,-69.55555556,-63.42857143,-80,66
-66.875,-62.7,-79.28571429,-72.54545455,-81.25,-63.08333333,-63.9,-63.14285714,-76.57142857,-73.66666667,-56.08333333,-53.64285714,-58.36363636,-72.57142857,-73.4,-61.08333333,-52.09090909,-66.2,-69.2,-72,-55.83333333,-53.66666667,-70.5,-62.41666667,-81.66666667,66
-72.3,-64.2,-74,-72.27272727,-71.6,-67.16666667,-64.88888889,-65.22222222,-72,-75.88888889,-52.16666667,-57.44444444,-64,-78.33333333,-72.66666667,-64.75,-52.78571429,-65.6,-74.83333333,-74.64285714,-63.11111111,-56.66666667,-66.55555556,-61.3,-75.33333333,66
-73.35714286,-68.66666667,-74.5,-69.8,-73.5,-68,-68.66666667,-64.88888889,-72.5,-76.14285714,-54.41666667,-60.5,-71.66666667,-74.6,-78.44444444,-67.25,-61.66666667,-69.25,-72.54545455,-78.83333333,-70.09090909,-57.61538462,-69.6,-62.5,-77.7,66
-83.1,-91.54545455,-94.8,-80.3,-93.4,-73.8,-77.53846154,-85.625,-82.4,-91.71428571,-74.28571429,-77.57142857,-74,-91.16666667,-89.6,-70.1,-67.76923077,-83.5,-85.41666667,-90.125,-73.36363636,-72.76923077,-87.83333333,-74.84615385,-89.33333333,67
-82.875,-86.21428571,-88.18181818,-83,-94.5,-79.8,-78,-78,-83.71428571,-90.36363636,-73.72727273,-75.83333333,-74.11764706,-90.33333333,-85.5,-68.63636364,-70.9,-80.125,-82.5,-90.75,-72.75,-73.54545455,-83.27272727,-74.54545455,-90.85714286,67
-80.5625,-88.375,-92.14285714,-79.66666667,-95,-87.11111111,-82,-79.88888889,-82.75,-92.66666667,-72.84615385,-80.9,-72.77777778,-88,-89.6,-68.21428571,-71.88888889,-82.8,-90.33333333,-91,-72,-78.66666667,-84.8,-81.44444444,-91.42857143,67
-77.18181818,-78.57142857,-81.8,-77,-90.25,-74.28571429,-73.33333333,-76,-72.375,-82,-63,-78.85714286,-65.83333333,-79.28571429,-79.5,-61.81818182,-58.71428571,-70,-85,-82.33333333,-65.83333333,-72.5,-85.28571429,-70.625,-75,67
-70.71428571,-72.83333333,-75.36363636,-76.55555556,-77.28571429,-71.8,-65,-71.5,-70.57142857,-79.375,-62.33333333,-71.75,-63,-77.66666667,-80,-58.66666667,-57.71428571,-71.11111111,-85,-76.4,-61,-61.8,-75.25,-70.25,-72,67
-69,-80.16666667,-80.55555556,-80,-79,-68.16666667,-73,-75.75,-73.66666667,-86.25,-68.42857143,-71.5,-69.08333333,-75.5,-72,-61.1,-66.11111111,-67.75,-66.57142857,-72.2,-66,-53.16666667,-68.93333333,-55.625,-73.4,84
-75.71428571,-74.72727273,-74.44444444,-74.28571429,-74.33333333,-72.25,-67.63636364,-73,-72.33333333,-79.4,-65,-70.25,-63.6,-70.5,-69.42857143,-58.11111111,-64.3,-59.81818182,-60.30769231,-66.3,-63.21428571,-51.92857143,-58.53846154,-51.30769231,-66.57142857,84
-75.2,-75.25,-72.875,-73.125,-76,-71.25,-73.09090909,-73.46153846,-73.41666667,-74.66666667,-66.85714286,-67.4,-63.375,-68.2,-66.4,-66.1,-59,-62.125,-58.66666667,-68.25,-58.85714286,-54.45454545,-57.46666667,-51.6,-70.1,84
-74.27272727,-73.125,-74,-72,-81.9,-81,-74.2,-71.125,-73.25,-74.125,-63.44444444,-65.85714286,-68,-73.2,-73.11111111,-58,-60.41666667,-58.45454545,-61.55555556,-72.4,-59.23076923,-51,-56.9,-54.36363636,-70.72727273,84
-93.6,-91.33333333,-91,-88,-89,-90,-90.75,-83,-88.25,-87,-79.66666667,-81,-84.6,-86,-84.66666667,-72.16666667,-77.6,-76,-73.33333333,-84.6,-75.66666667,-67.42857143,-72,-76.5,-79.77777778,84
-87.66666667,-80.1,-90.61538462,-92.27272727,-90.875,-89.28571429,-74.33333333,-87.375,-92.8,-90.42857143,-85.57142857,-73.84615385,-80.18181818,-83.5,-83.25,-82.875,-68.7,-60.5,-76.66666667,-87.125,-78.28571429,-72.66666667,-83,-79.5,-87.69230769,85
-81.77777778,-67.75,-74.8,-78,-74,-75.57142857,-65.75,-72.71428571,-79.25,-77.25,-75.5,-64.22222222,-75.75,-77.57142857,-70.7,-73,-68.5,-53.5,-71.125,-71,-76,-65,-68.66666667,-58.5,-68.83333333,85
-88.42857143,-80.42857143,-91,-86.14285714,-90.58333333,-86.83333333,-76.55555556,-80,-86.66666667,-86.4,-88,-72.15384615,-81.4,-82,-81.7,-79.55555556,-70.6875,-61,-74,-87,-78,-72.55555556,-82.625,-76,-85.42857143,85
-88.83333333,-79.75,-88.5,-89.33333333,-94.28571429,-84.7,-78.33333333,-82.85714286,-88.88888889,-85,-78.2,-78.83333333,-86.8,-83.14285714,-81.55555556,-75.63636364,-68.54545455,-62.83333333,-76.86666667,-83.33333333,-85.25,-71.7,-79.28571429,-73.8,-94.66666667,85
-89.77777778,-79.42857143,-94.71428571,-86,-95.2,-85.375,-77.83333333,-85.5,-88,-90,-79.45454545,-77.85714286,-85,-84.16666667,-81.42857143,-81.75,-79.83333333,-62.90909091,-77.375,-86.33333333,-88.6,-68.55555556,-83,-73.77777778,-88,85
-75.6,-70.82352941,-70.14285714,-75.83333333,-76.25,-66.4,-67.8,-70.75,-73.76923077,-69,-69.33333333,-64.66666667,-71.875,-74.11111111,-70.33333333,-61.5,-58.7,-66.2,-67.66666667,-71,-56.5,-53.71428571,-81,-60.55555556,-71.2,86
-72.57142857,-69,-71.85714286,-76.57142857,-77.33333333,-71.57142857,-66.5,-68.54545455,-71.42857143,-74.4,-73,-68.66666667,-73.33333333,-76.8,-76.9,-62.375,-57.36363636,-70.09090909,-71.5,-71.33333333,-55.58823529,-57.27272727,-69.5,-62.14285714,-69.28571429,86
