minor: 0,minor: 1,minor: 2,minor: 3,minor: 4,minor: 5,minor: 6,minor: 7,minor: 8,minor: 9,minor: 10,minor: 11,minor: 12,minor: 13,minor: 14,minor: 15,minor: 16,minor: 17,minor: 18,minor: 19,minor: 20,minor: 21,minor: 22,minor: 23,minor: 24,label
-64.77777778,-50.16666667,-75.75,-69.8,-72.5,-53.2,-49.375,-51.85714286,-70.4,-74.9,-63.55555556,-56.5,-67.22222222,-70.90909091,-70.66666667,-70,-72.28571429,-62,-71.125,-75,-71.33333333,-72,-73,-71,-80.18181818,20
-70.25,-52.25,-79,-73,-79,-63,-52.27272727,-54.66666667,-74.7,-72.75,-74.44444444,-60.875,-73.375,-80.28571429,-74.5,-68,-73,-64.57142857,-80.75,-83.66666667,-75,-78,-77.55555556,-69.5,-83.5,20
-65.22222222,-50.7,-75.66666667,-72.7,-74,-55.75,-46.66666667,-52.63636364,-71,-73,-64.33333333,-56.44444444,-67.75,-72.75,-74.85714286,-64.6,-67.07692308,-65.9,-69.77777778,-73.66666667,-68.8,-75.5,-75,-70.1,-82,20
-65.27272727,-51.83333333,-75.66666667,-75.16666667,-74,-51.33333333,-46.90909091,-53.5,-73,-73,-61.63636364,-57.7,-64.09090909,-71.55555556,-71.72727273,-69.08333333,-71.18181818,-64.5,-72.08333333,-74.27272727,-70.08333333,-73.75,-69.57142857,-71.88888889,-76.83333333,20
-54.6,-50,-70.44444444,-69.33333333,-77.71428571,-59.54545455,-63.1,-71,-78.125,-78,-63.72727273,-60.2,-70.57142857,-74.5,-76.5,-70,-68.25,-68.55555556,-75.28571429,-78.14285714,-66.14285714,-64.14285714,-74.8,-73.72727273,-83.4,21
-51.4,-51,-73.77777778,-76.25,-80.4,-57.875,-61.55555556,-68.75,-72.28571429,-78,-62,-58.42857143,-72.5,-72.66666667,-76.66666667,-70,-71.36363636,-65.5,-70,-77.9,-68.77777778,-67.5,-76,-73.85714286,-80,21
-57.625,-52.11111111,-74.14285714,-84.66666667,-82.5,-61.5,-63.16666667,-71,-82,-72.5,-63.625,-62.5,-81.85714286,-76.71428571,-79,-71.16666667,-77.57142857,-76,-80.44444444,-79.2,-72.83333333,-74.125,-79.6,-75.14285714,-91,21
-53.125,-49.75,-69.3,-77.71428571,-79.25,-56.5625,-57,-67.83333333,-80,-81.42857143,-61.57142857,-63.44444444,-69.4,-75.5,-72.25,-70.6,-72.55555556,-71.9,-71.6,-76.33333333,-65.8,-69.69230769,-74,-68.64285714,-80.45454545,21
-53.73333333,-48.875,-71.66666667,-71.25,-80.5,-53.375,-52.41666667,-69.85714286,-75.375,-75.83333333,-59.88888889,-62.85714286,-70.30769231,-73.16666667,-70.9,-71.25,-68.76923077,-67.09090909,-72.75,-80,-61.8,-71.07692308,-76.66666667,-78.14285714,-82.25,21
-61,-59,-74.77777778,-78,-83.57142857,-58.27272727,-62.7,-71.55555556,-81,-85,-56,-63.75,-72.125,-78,-74.5,-58.3,-66.61538462,-69.44444444,-75.75,-74.72727273,-63.5,-67.72727273,-78.5,-72.16666667,-79.25,22
-61.2,-61.21428571,-76.6,-72.66666667,-85,-55.8,-64,-66.5,-72.4,-78.66666667,-54.06666667,-62.27272727,-76.11111111,-77.2,-78,-58.3,-64.5,-75.625,-80,-85,-61.83333333,-70.15384615,-75.55555556,-72.75,-79,22
-60.53333333,-59.42857143,-75,-76.85714286,-84.375,-59.625,-66.27272727,-70.63636364,-71.5,-83.5,-54.35294118,-63,-75,-79.57142857,-79.4,-60,-65.93333333,-69,-73.85714286,-78.66666667,-61.64285714,-70,-77,-72.2,-78,22
-69.5,-74.28571429,-92.5,-91,-80,-71.14285714,-74.5,-82.2,-85.75,-90.8,-72,-79,-85,-84,-92.66666667,-72.66666667,-80.83333333,-88.5,-83.33333333,-89.4,-78.66666667,-88.66666667,-92,-87.71428571,-93,22
-53.25,-66.625,-75.66666667,-76,-79.5,-57.25,-64.09090909,-71.66666667,-73.71428571,-77,-63.46153846,-59.46153846,-66.36363636,-79.16666667,-79,-59.92857143,-61.16666667,-71.33333333,-75.875,-72.57142857,-62.54545455,-72.75,-77.625,-75.72727273,-81.8,22
-63.8,-58.4,-70.33333333,-74.44444444,-77.25,-58.36363636,-57.36363636,-60.15384615,-75.33333333,-75.66666667,-61.07692308,-58.125,-71.44444444,-77.25,-73.625,-75.16666667,-70.44444444,-67.625,-77.66666667,-82.5,-77.54545455,-74,-75.625,-78,-75.85714286,23
-60.28571429,-56.5,-69.28571429,-71.75,-78.33333333,-52.58333333,-55.81818182,-63.8,-75,-75,-62.6,-53.42857143,-67.5,-79.33333333,-71.5,-77.33333333,-69.4,-68,-76.8,-76.71428571,-72.90909091,-72.81818182,-78.2,-77.25,-87,23
-73.71428571,-58.6,-75.33333333,-81.6,-79.9,-59,-63.33333333,-71.57142857,-75.4,-79,-74.125,-61,-64.33333333,-83.83333333,-78.6,-74.33333333,-70,-71.22222222,-85,-78,-68.375,-79.83333333,-80.16666667,-80.75,-78.83333333,23
-58.4,-53,-71,-75.25,-77.28571429,-52.57142857,-57.90909091,-65.66666667,-70.58333333,-75.2,-62.33333333,-56.61538462,-68.5,-80,-70.5,-75.75,-68.22222222,-66.25,-75,-80.25,-71.22222222,-70.77777778,-80,-77.28571429,-82.25,23
-62.58823529,-53.15384615,-69.33333333,-79,-80.5,-50.18181818,-60.8,-63.44444444,-72.42857143,-75.57142857,-67,-57.55555556,-68,-75.71428571,-75.8,-69.72727273,-66.26666667,-73.83333333,-80.2,-74,-73.22222222,-76.6,-81,-77.5,-81.57142857,23
-75.66666667,-69.6,-84.2,-83.83333333,-79.25,-64.5,-63.8,-73.71428571,-72.2,-73.16666667,-60.33333333,-63.66666667,-66.42857143,-80.33333333,-79.2,-71.125,-71.85714286,-77.6,-75.66666667,-82.25,-76,-67,-79.5,-71.2,-89.66666667,40
-83.125,-76.1,-88.14285714,-91.6,-89.16666667,-90.5,-70.85714286,-77.4,-85.5,-89.1,-72.22222222,-73.2,-77.66666667,-91,-82,-72.5,-78,-83.23076923,-88.77777778,-93.3,-82.5,-74.2,-87.77777778,-79.16666667,-94,40
-81.22222222,-75,-88.85714286,-87.33333333,-90,-83.8,-65.2,-80.6,-87.22222222,-86.3,-69.77777778,-69.90909091,-77.42857143,-84.76923077,-84.18181818,-78.26666667,-72.22222222,-82.25,-88.25,-90.85714286,-85.8,-76.55555556,-84.36363636,-77.2,-94.16666667,40
-81.4,-80.2,-89.25,-87.7,-86.25,-75.55555556,-61.69230769,-77.28571429,-82.55555556,-85.27272727,-61.125,-66.22222222,-72.75,-82.30769231,-83.5,-65.25,-76.75,-80.25,-83.6,-94.66666667,-77.71428571,-75.375,-86.11111111,-76.55555556,-92.14285714,40
-70.66666667,-66,-74.125,-78.77777778,-82.125,-64,-53,-76,-76.5,-78.7,-62,-63.28571429,-66,-77,-77,-64,-59,-71.85714286,-76.6,-79.85714286,-66.75,-69.5,-72.55555556,-64,-83,40
-72,-68.85714286,-89.5,-89.75,-87.4,-69.625,-66,-76.83333333,-79.5,-83.75,-71.75,-69,-79,-80,-88.2,-77,-70.33333333,-74,-89.16666667,-91.22222222,-77.77777778,-73.5,-82,-75.6,-87,41
